name,date,socket,category,speed,turbo,cpuCount,cores,logicals,l1_cache,l2_cache,l3_cache
AMD A6-6400B APU,2014-02-01,FM2,Desktop,3900.0,4100.0,1,1,2,64.0,2048.0,0.0
AMD A6-6400K APU,2013-07-01,FM2,Desktop,3900.0,4100.0,1,1,2,64.0,2048.0,0.0
AMD A6-6420B APU,2014-11-01,FM2,Desktop,4000.0,4200.0,1,1,2,64.0,2048.0,0.0
AMD A6-6420K APU,2014-10-01,FM2,Desktop,4000.0,4200.0,1,2,1,64.0,2048.0,0.0
AMD A6-7000 ,2015-02-01,FP3,Laptop,2200.0,3000.0,1,2,1,0.0,0.0,0.0
AMD A6-7310 APU,2015-06-01,Unknown,Laptop,2000.0,2400.0,1,4,1,64.0,2048.0,0.0
AMD A6-7400K APU,2014-10-01,FM2+,Desktop,3500.0,3900.0,1,2,1,64.0,2048.0,0.0
AMD A6-7470K,2016-05-01,FM2+,Desktop,3700.0,4000.0,1,1,2,64.0,2048.0,0.0
AMD A6-7480,2019-04-01,FM2+,Desktop,3500.0,3800.0,1,2,1,64.0,2048.0,0.0
AMD A6-8500P,2016-05-01,BGA (FP4),Laptop,1600.0,3000.0,1,2,1,64.0,2048.0,0.0
AMD A6-8550,2015-11-01,FM2+,Desktop,3700.0,4000.0,1,2,1,64.0,2048.0,0.0
AMD A6-9200,2018-03-01,BGA,Laptop,2000.0,2800.0,1,2,1,64.0,2048.0,0.0
AMD A6-9210,2016-07-01,FP4,Laptop,2400.0,2800.0,1,2,1,64.0,2048.0,0.0
AMD A6-9220,2017-08-01,Unknown,Laptop,2500.0,2900.0,1,2,1,64.0,2048.0,0.0
AMD A6-9220C,2019-05-01,FT4,Laptop,1800.0,2700.0,1,2,1,64.0,2048.0,0.0
AMD A6-9220e,2018-02-01,Unknown,Laptop,1600.0,2400.0,1,2,1,64.0,2048.0,0.0
AMD A6-9225,2018-08-01,BGA (FT4),Laptop,2600.0,3000.0,1,2,1,64.0,2048.0,0.0
AMD A6-9230,2017-08-01,Unknown,Desktop,2600.0,3500.0,1,2,1,64.0,2048.0,0.0
AMD A6-9400,2019-11-01,FT4,Laptop,2400.0,3200.0,1,2,1,64.0,2048.0,0.0
AMD A6-9500,2016-12-01,AM4,Desktop,3500.0,3800.0,1,2,1,64.0,2048.0,0.0
AMD A6-9500E,2018-10-01,AM4,Desktop,3000.0,3400.0,1,2,1,64.0,2048.0,0.0
AMD A8 PRO-7150B APU,2014-07-01,FP3,Laptop,1900.0,3200.0,1,4,1,64.0,2048.0,0.0
AMD A8 PRO-7600B APU,2014-09-01,FM2+,Desktop,3100.0,3800.0,1,4,1,64.0,2048.0,0.0
AMD A8-3500M APU,2011-07-01,FS1,Laptop,1500.0,2400.0,1,4,1,64.0,2048.0,0.0
AMD A8-3510MX APU,2011-08-01,FS1,Laptop,1800.0,2500.0,1,4,1,64.0,2048.0,0.0
AMD A8-3520M APU,2012-01-01,FS1,Laptop,1600.0,2500.0,1,4,1,64.0,2048.0,0.0
AMD A8-3530MX APU,2011-07-01,FS1,Laptop,1900.0,2600.0,1,4,1,64.0,2048.0,0.0
AMD A8-3550MX APU,2012-03-01,FS1,Laptop,2000.0,2700.0,1,4,1,64.0,2048.0,0.0
AMD A8-3800 APU,2011-09-01,FM1,Desktop,2400.0,2700.0,1,4,1,64.0,2048.0,0.0
AMD A8-3820 APU,2012-01-01,FM1,Desktop,2500.0,2800.0,1,4,1,64.0,2048.0,0.0
AMD A8-3850 APU,2011-06-01,FM1,Desktop,2900.0,0.0,1,4,1,64.0,2048.0,0.0
AMD A8-3870K APU,2011-12-01,FM1,Desktop,3000.0,0.0,1,4,1,64.0,2048.0,0.0
AMD A8-4500M APU,2012-05-01,FS1r2,Laptop,1900.0,2800.0,1,2,2,64.0,2048.0,0.0
AMD A8-4555M APU,2012-10-01,FP2,Laptop,1600.0,2400.0,1,2,2,64.0,2048.0,0.0
AMD A8-5500 APU,2012-06-01,FM2,Desktop,3200.0,3700.0,1,2,2,64.0,2048.0,0.0
AMD A8-5500B APU,2013-03-01,FM2,Desktop,3200.0,3700.0,1,2,2,64.0,2048.0,0.0
AMD A8-5545M APU,2013-08-01,FP2,Laptop,1700.0,2700.0,1,4,1,64.0,2048.0,0.0
AMD A8-5550M APU,2013-07-01,FS1r2,Laptop,2100.0,3100.0,1,4,1,64.0,2048.0,0.0
AMD A8-5557M APU,2013-07-01,FP2,Laptop,2100.0,3100.0,1,4,1,64.0,2048.0,0.0
AMD A8-5600K APU,2012-10-01,FM2,Desktop,3600.0,3900.0,1,4,1,64.0,2048.0,0.0
AMD A8-6410 APU,2014-06-01,BGA769 (FT3b),Laptop,2000.0,2400.0,1,4,1,64.0,2048.0,0.0
AMD A8-6500 APU,2013-08-01,FM2,Desktop,3500.0,4100.0,1,2,2,64.0,2048.0,0.0
AMD A8-6500B APU,2014-04-01,FM2,Desktop,3500.0,4100.0,1,2,2,64.0,2048.0,0.0
AMD A8-6500T APU,2014-03-01,FM2,Desktop,2100.0,3100.0,1,2,2,64.0,2048.0,0.0
AMD A8-6600K APU,2013-06-01,FM2,Desktop,3900.0,4200.0,1,2,2,64.0,2048.0,0.0
AMD A8-7050,2016-01-01,Unknown,Laptop,1800.0,3000.0,1,2,1,64.0,2048.0,0.0
AMD A8-7100 APU,2014-08-01,FP3,Laptop,1800.0,3000.0,1,4,1,64.0,2048.0,0.0
AMD A8-7200P,2015-07-01,FP3,Laptop,2400.0,3300.0,1,4,1,64.0,2048.0,0.0
AMD A8-7410 APU,2015-06-01,Unknown,Laptop,2200.0,2500.0,1,4,1,64.0,2048.0,0.0
AMD A8-7500,2016-06-01,FM2+,Desktop,3000.0,0.0,1,2,2,64.0,2048.0,0.0
AMD A8-7600 APU,2014-07-01,FM2+,Desktop,3100.0,3800.0,1,2,2,64.0,2048.0,0.0
AMD A8-7650K,2015-02-01,FM2+,Desktop,3300.0,3700.0,1,2,2,64.0,2048.0,0.0
AMD A8-7670K,2015-09-01,FM2+,Desktop,3600.0,3900.0,1,4,1,64.0,2048.0,0.0
AMD A8-7680,2019-01-01,FM2+,Laptop,3500.0,3800.0,1,4,1,64.0,2048.0,0.0
AMD A8-8600P,2015-08-01,FP4,Laptop,1600.0,3000.0,1,2,2,64.0,2048.0,0.0
AMD A8-8650,2015-11-01,FM2+,Desktop,3200.0,3800.0,1,4,1,64.0,2048.0,0.0
AMD A8-9600,2017-04-01,AM4,Desktop,3100.0,3400.0,1,4,1,64.0,2048.0,0.0
AMD A9-9400,2016-12-01,FP4,Laptop,2400.0,3200.0,1,2,1,64.0,2048.0,0.0
AMD A9-9410,2016-07-01,FP4,Laptop,2900.0,3500.0,1,2,1,64.0,2048.0,0.0
AMD A9-9420,2017-08-01,Unknown,Laptop,3000.0,3400.0,1,2,1,64.0,2048.0,0.0
AMD A9-9420e,2018-04-01,Unknown,Laptop,2600.0,0.0,1,2,1,64.0,2048.0,0.0
AMD A9-9425,2018-06-01,BGA (FT4),Laptop,3100.0,3700.0,1,2,1,64.0,2048.0,0.0
AMD A9-9430,2017-12-01,Unknown,Desktop,3200.0,3500.0,1,2,1,64.0,2048.0,0.0
AMD A9-9820,2021-04-01,Unknown,Unknown,2300.0,2395.0,1,8,1,64.0,2048.0,0.0
AMD Athlon 1500+,2009-03-01,Unknown,Unknown,1333.0,0.0,1,1,1,64.0,256.0,0.0
AMD Athlon 1640B,2009-05-01,AM2,Desktop,2700.0,0.0,1,1,1,64.0,2048.0,0.0
AMD Athlon 200GE,2018-09-01,AM4,Desktop,3200.0,3200.0,1,2,2,64.0,2048.0,0.0
AMD Athlon 220GE,2019-03-01,AM4,Laptop,3400.0,0.0,1,2,2,64.0,2048.0,0.0
AMD Athlon 240GE,2019-01-01,AM4,Desktop,3500.0,0.0,1,2,2,64.0,2048.0,0.0
AMD Athlon 2650e,2009-01-01,AM2,Desktop,1600.0,0.0,1,1,1,64.0,2048.0,0.0
AMD Athlon 2800+,2009-03-01,754,Unknown,2133.0,0.0,1,1,1,64.0,256.0,0.0
AMD Athlon 2850e,2009-11-01,AM2,Desktop,1800.0,0.0,1,1,1,64.0,2048.0,0.0
AMD Athlon 3000G,2019-11-01,AM4,Desktop,3500.0,0.0,1,2,2,64.0,2048.0,0.0
AMD Athlon 300GE,2019-12-01,AM4,Desktop,3400.0,0.0,1,2,2,64.0,2048.0,0.0
AMD Athlon 300U,2019-07-01,FP5,Laptop,2400.0,3300.0,1,2,2,64.0,2048.0,0.0
AMD Athlon 320GE,2021-09-01,AM4,Desktop,3500.0,0.0,1,2,2,64.0,2048.0,0.0
AMD Athlon 5000 Dual-Core,2009-10-01,"AM2,AM2+",Desktop,2200.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 5150 APU,2014-04-01,"AM1,FS1b",Desktop,1600.0,0.0,1,4,1,64.0,2048.0,0.0
AMD Athlon 5200 Dual-Core,2010-12-01,AM2,Desktop,2700.0,0.0,1,2,1,64.0,512.0,0.0
AMD Athlon 5350 APU,2014-03-01,"AM1,FS1B",Desktop,2050.0,0.0,1,4,1,64.0,2048.0,0.0
AMD Athlon 5370 APU,2016-04-01,"AM1,FS1B",Desktop,2200.0,0.0,1,4,1,64.0,2048.0,0.0
AMD Athlon 64 2000+,2013-11-01,Unknown,Unknown,1000.0,0.0,1,1,1,64.0,256.0,0.0
AMD Athlon 64 2600+,2013-11-01,Unknown,Unknown,1600.0,0.0,1,1,1,64.0,256.0,0.0
AMD Athlon 64 2800+,2009-01-01,754,Unknown,1800.0,0.0,1,1,1,64.0,256.0,0.0
AMD Athlon 64 3100+,2015-01-01,754,Desktop,1800.0,0.0,1,1,1,64.0,256.0,0.0
AMD Athlon 64 3300+,2009-03-01,Unknown,Unknown,2400.0,0.0,1,1,1,64.0,256.0,0.0
AMD Athlon 64 3400+,2009-01-01,754,Unknown,2400.0,0.0,1,1,1,64.0,256.0,0.0
AMD Athlon 64 3800+,2009-01-01,AM2,Unknown,2400.0,0.0,1,1,1,64.0,512.0,0.0
AMD Athlon 64 FX-55,2009-02-01,939,Desktop,2600.0,0.0,1,1,1,64.0,1024.0,0.0
AMD Athlon 64 FX-57,2009-03-01,939,Desktop,2800.0,0.0,1,1,1,64.0,1024.0,0.0
AMD Athlon 64 FX-59,2013-05-01,939,Desktop,3000.0,0.0,1,1,1,64.0,1024.0,0.0
AMD Athlon 64 FX-60 Dual Core,2009-02-01,939,Desktop,2600.0,0.0,1,2,1,64.0,1024.0,0.0
AMD Athlon 64 FX-62 Dual Core,2009-02-01,AM2,Desktop,2800.0,0.0,1,2,1,64.0,1024.0,0.0
