name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,l1_cache,l2_cache,l3_cache
AMD A6-3420M APU,0.0,35.0,2012-01-01,FS1,Laptop,1500.0,2400.0,1,4,1,2721,713,64.0,2048.0,0.0
AMD A6-3430MX APU,0.0,45.0,2012-02-01,FS1,Laptop,1700.0,2400.0,1,4,1,2607,45,64.0,2048.0,0.0
AMD A6-3500 APU,74.93,65.0,2011-09-01,FM1,Desktop,2100.0,2400.0,1,3,1,2665,268,64.0,2048.0,0.0
AMD A6-3600 APU,24.95,65.0,2011-11-01,FM1,Desktop,2100.0,2400.0,1,4,1,2484,131,64.0,2048.0,0.0
AMD A6-3620 APU,22.49,65.0,2012-02-01,FM1,Desktop,2200.0,2500.0,1,4,1,2344,308,64.0,2048.0,0.0
AMD A6-3650 APU,128.0,100.0,2011-07-01,FM1,Desktop,2600.0,0.0,1,4,1,2251,318,64.0,2048.0,0.0
AMD A6-3670 APU,176.59,100.0,2012-01-01,FM1,Desktop,2700.0,0.0,1,4,1,2218,192,64.0,2048.0,0.0
AMD A6-4400M APU,27.0,35.0,2012-04-01,FS1r2,Laptop,2700.0,3200.0,1,1,2,2984,806,64.0,2048.0,0.0
AMD A6-4455M APU,0.0,17.0,2012-07-01,FP2,Laptop,2100.0,2600.0,1,1,2,3201,208,64.0,2048.0,0.0
AMD A6-5200 APU,0.0,25.0,2013-07-01,FT3,Laptop,2000.0,0.0,1,4,1,2469,907,64.0,2048.0,0.0
AMD A6-5345M APU,0.0,17.0,2014-04-01,FP2,Laptop,2200.0,2800.0,1,2,1,2866,8,64.0,2048.0,0.0
AMD A6-5350M APU,33.12,35.0,2013-07-01,FS1r2,Laptop,2900.0,3500.0,1,2,1,2849,123,64.0,2048.0,0.0
AMD A6-5357M APU,0.0,35.0,2013-10-01,FP2,Laptop,2900.0,3500.0,1,2,1,2741,23,64.0,2048.0,0.0
AMD A6-5400B APU,28.94,65.0,2013-11-01,FM2,Desktop,3600.0,3800.0,1,1,2,2613,60,64.0,2048.0,0.0
AMD A6-5400K APU,52.02,65.0,2012-10-01,FM2,Desktop,3600.0,3800.0,1,1,2,2744,611,64.0,2048.0,0.0
AMD A6-6310 APU,0.0,15.0,2014-07-01,FT3,Laptop,1800.0,2400.0,1,4,1,2458,754,64.0,2048.0,0.0
AMD A6-6400B APU,0.0,65.0,2014-02-01,FM2,Desktop,3900.0,4100.0,1,1,2,2494,11,64.0,2048.0,0.0
AMD A6-6400K APU,51.72,65.0,2013-07-01,FM2,Desktop,3900.0,4100.0,1,1,2,2599,582,64.0,2048.0,0.0
AMD A6-6420B APU,0.0,65.0,2014-11-01,FM2,Desktop,4000.0,4200.0,1,1,2,2537,1,64.0,2048.0,0.0
AMD A6-6420K APU,149.99,65.0,2014-10-01,FM2,Desktop,4000.0,4200.0,1,2,1,2548,41,64.0,2048.0,0.0
AMD A6-7000 ,0.0,17.0,2015-02-01,FP3,Laptop,2200.0,3000.0,1,2,1,2972,26,0.0,0.0,0.0
AMD A6-7310 APU,0.0,25.0,2015-06-01,Unknown,Laptop,2000.0,2400.0,1,4,1,2414,461,64.0,2048.0,0.0
AMD A6-7400K APU,29.99,65.0,2014-10-01,FM2+,Desktop,3500.0,3900.0,1,2,1,2507,312,64.0,2048.0,0.0
